batch,job,name,seed,best_discrete,final_discrete,soft_full,hash_match
92,1,overnight_b092_j1,13201,6.614379405975342,77.21900939941406,0.32836464047431946,False
92,2,overnight_b092_j2,13202,1.8377948999404907,1.8377948999404907,0.4323190450668335,False
92,3,overnight_b092_j3,13203,90.20405578613281,452.38214111328125,0.3551565110683441,False
92,4,overnight_b092_j4,13204,20.220964431762695,970.093994140625,0.39053037762641907,False
93,1,overnight_b093_j1,13301,0.7379282116889954,10.250879287719727,0.3443912863731384,False
93,2,overnight_b093_j2,13302,8.038069725036621,37.66995620727539,0.3852996826171875,False
93,3,overnight_b093_j3,13303,3.6817538738250732,32.428550720214844,0.40595394372940063,False
93,4,overnight_b093_j4,13304,3.1724815368652344,11.932588577270508,0.40938541293144226,False
94,1,overnight_b094_j1,13401,1.1019762754440308,124.14313507080078,0.38783106207847595,False
94,2,overnight_b094_j2,13402,41.76846694946289,146.19317626953125,0.4253420829772949,False
94,3,overnight_b094_j3,13403,58.14387512207031,105.78597259521484,0.38614270091056824,False
94,4,overnight_b094_j4,13404,69.89448547363281,21.67344856262207,0.37216174602508545,False
95,1,overnight_b095_j1,13501,5.0839738845825195,8.942373275756836,0.3758346438407898,False
95,2,overnight_b095_j2,13502,1.302545428276062,26.037267684936523,0.3677509129047394,False
95,3,overnight_b095_j3,13503,10.138785362243652,39.8465690612793,0.39322230219841003,False
95,4,overnight_b095_j4,13504,23.994731903076172,38.84980773925781,0.2908170223236084,False
96,1,overnight_b096_j1,13601,2.3527917861938477,3.446444511413574,0.4646170735359192,False
96,2,overnight_b096_j2,13602,22.706134796142578,4.235335350036621,0.38490790128707886,False
96,3,overnight_b096_j3,13603,20.632795333862305,70.20407104492188,0.3585611581802368,False
96,4,overnight_b096_j4,13604,11.332220077514648,56.859397888183594,0.35514166951179504,False
97,1,overnight_b097_j1,13701,1.5932376384735107,3.5958304405212402,0.3589649200439453,False
97,2,overnight_b097_j2,13702,36.36742401123047,66.23429870605469,0.3785322308540344,False
97,3,overnight_b097_j3,13703,2.0714378356933594,48.68669128417969,0.4429459869861603,False
97,4,overnight_b097_j4,13704,81.93042755126953,98.35613250732422,0.37330979108810425,False
98,1,overnight_b098_j1,13801,14.991625785827637,17.486862182617188,0.4160028100013733,False
98,2,overnight_b098_j2,13802,18.772933959960938,21.85053253173828,0.4854991137981415,False
98,3,overnight_b098_j3,13803,91.33089447021484,149.84837341308594,0.3401567339897156,False
98,4,overnight_b098_j4,13804,9.009744644165039,46.41715621948242,0.3889947831630707,False
99,1,overnight_b099_j1,13901,10.394598007202148,17.037565231323242,0.4352706968784332,False
99,2,overnight_b099_j2,13902,4.181180000305176,50.95974349975586,0.36903059482574463,False
99,3,overnight_b099_j3,13903,14.467154502868652,14.467154502868652,0.34973809123039246,False
99,4,overnight_b099_j4,13904,23.6345157623291,5.16303014755249,0.46879154443740845,False
100,1,overnight_b100_j1,14001,1.3691226243972778,2.9883675575256348,0.47570326924324036,False
100,2,overnight_b100_j2,14002,4.752565860748291,4.752565860748291,0.3918648064136505,False
